"Estado","% Ocupación"
"Puebla","14.70"
"Hidalgo","14.28"
"Coahuila de Zaragoza","11.11"
"Aguascalientes","8.33"
"San Luis Potosí","8.10"
"México","7.01"
"Sinaloa","6.89"
"Sonora","5.88"
"Yucatán","5.55"
"Jalisco","2.00"
"Nuevo León","0.91"
"Quintana Roo","0.00"
"Baja California","0.00"
"Guerrero","0.00"
"Tamaulipas","0.00"
"Nayarit","0.00"
"Oaxaca","0.00"
"Michoacán de Ocampo","0.00"
"Chiapas","0.00"
"Zacatecas","0.00"
"Morelos","0.00"
"Chihuahua","0.00"
"Ciudad de México","0.00"
"Guanajuato","0.00"
"Durango","0.00"
"Colima","0.00"
"Querétaro","0.00"
"Campeche","0.00"
"Veracruz de Ignacio de La Llave","0.00"
"Tlaxcala","0.00"
"Tabasco","0.00"
"Baja California Sur","0.00"
